# Delay[ns]	Correlation 	
-150	0.994104
-149.995	0.993264
-149.99	0.999578
-149.985	1.00028
-149.98	0.999212
-149.975	1.00103
-149.97	0.998102
-149.965	0.997866
-149.96	0.995727
-149.955	1.00258
-149.95	1.00537
-149.945	1.00346
-149.94	1.00483
-149.935	1.00554
-149.93	1.00158
-149.925	1.00478
-149.92	1.0002
-149.915	0.998658
-149.91	0.997494
-149.905	0.999891
-149.9	0.998011
-149.895	0.998451
-149.89	0.994974
-149.885	0.991783
-149.88	0.99343
-149.875	0.994924
-149.87	1.00344
-149.865	1.00295
-149.86	1.00161
-149.855	0.996794
-149.85	0.997801
-149.845	0.999661
-149.84	1.00498
-149.835	1.00013
-149.83	0.999455
-149.825	1.00668
-149.82	1.00378
-149.815	1.00042
-149.81	1.00495
-149.805	1.00412
-149.8	1.00796
-149.795	1.00521
-149.79	1.00434
-149.785	1.00651
-149.78	0.997551
-149.775	0.998367
-149.77	1.00188
-149.765	0.998935
-149.76	0.996312
-149.755	1.00206
-149.75	1.00385
-149.745	1.00313
-149.74	0.999694
-149.735	1.00161
-149.73	0.997209
-149.725	0.99522
-149.72	1.00404
-149.715	1.00044
-149.71	0.995558
-149.705	0.993711
-149.7	0.999438
-149.695	1.00222
-149.69	0.999842
-149.685	0.999651
-149.68	1.00796
-149.675	1.0117
-149.67	1.00851
-149.665	1.00454
-149.66	0.998576
-149.655	0.994311
-149.65	0.997914
-149.645	1.00067
-149.64	1.0034
-149.635	1.00402
-149.63	1.00457
-149.625	1.0045
-149.62	1.00085
-149.615	0.993235
-149.61	0.993678
-149.605	0.996428
-149.6	0.997584
-149.595	0.996647
-149.59	0.994155
-149.585	0.992071
-149.58	0.997784
-149.575	0.995175
-149.57	0.999709
-149.565	1.00297
-149.56	0.998229
-149.555	0.999104
-149.55	1.00165
-149.545	1.00155
-149.54	0.997817
-149.535	1.00134
-149.53	1.00056
-149.525	0.996434
-149.52	1.0004
-149.515	1.00241
-149.51	1.00364
-149.505	1.00531
-149.5	1.00258
-149.495	1.00604
-149.49	1.00469
-149.485	1.00612
-149.48	1.00633
-149.475	1.00447
-149.47	1.00125
-149.465	1.00427
-149.46	0.997369
-149.455	0.995708
-149.45	0.996483
-149.445	0.997404
-149.44	0.995953
-149.435	0.998511
-149.43	0.998342
-149.425	0.998903
-149.42	0.993097
-149.415	0.991465
-149.41	0.9938
-149.405	0.996692
-149.4	0.998891
-149.395	0.998554
-149.39	1.00167
-149.385	1.00665
-149.38	1.00415
-149.375	1.00584
-149.37	1.00383
-149.365	1.00544
-149.36	1.0008
-149.355	0.996522
-149.35	0.998186
-149.345	1.00003
-149.34	1.00168
-149.335	0.9959
-149.33	0.997487
-149.325	1.00364
-149.32	1.00505
-149.315	1.00079
-149.31	0.999582
-149.305	1.00201
-149.3	0.998912
-149.295	1.00086
-149.29	1.00186
-149.285	0.997042
-149.28	1.0001
-149.275	1.00134
-149.27	0.998293
-149.265	0.999543
-149.26	1.00342
-149.255	1.00263
-149.25	1.001
-149.245	0.998606
-149.24	0.995372
-149.235	1.00033
-149.23	0.995087
-149.225	0.996144
-149.22	0.991615
-149.215	0.993523
-149.21	0.99778
-149.205	0.996896
-149.2	0.993519
-149.195	0.993196
-149.19	0.999869
-149.185	0.99822
-149.18	0.998543
-149.175	1.00616
-149.17	1.00365
-149.165	1.00179
-149.16	1
-149.155	0.999473
-149.15	1.00191
-149.145	1.00312
-149.14	0.996175
-149.135	1.00054
-149.13	1.00477
-149.125	1.00284
-149.12	0.999274
-149.115	1.00007
-149.11	1.00248
-149.105	0.998829
-149.1	1.00108
-149.095	1.00307
-149.09	1.00097
-149.085	0.998845
-149.08	0.999524
-149.075	1.00137
-149.07	1.00911
-149.065	1.0067
-149.06	1.00537
-149.055	1.00069
-149.05	1.001
-149.045	0.999804
-149.04	0.998583
-149.035	1.00434
-149.03	1.00502
-149.025	1.00577
-149.02	1.00453
-149.015	1.00043
-149.01	0.997216
-149.005	0.994084
-149	0.995625
-148.995	0.999266
-148.99	1.00335
-148.985	1.00448
-148.98	1.00102
-148.975	0.999408
-148.97	0.999788
-148.965	0.998607
-148.96	0.997115
-148.955	0.997547
-148.95	1.00128
-148.945	1.00127
-148.94	0.998257
-148.935	1.00173
-148.93	1.00327
-148.925	1.00655
-148.92	1.00456
-148.915	1.00255
-148.91	0.998456
-148.905	0.996327
-148.9	0.995467
