# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.265243
-4.99633	 0.577092
-4.993	 0.608997
-4.98967	 0.72308
-4.98633	 0.531722
-4.983	 0.520606
-4.97967	 0.544123
-4.97633	 0.547227
-4.973	 0.768892
-4.96967	 0.554085
-4.96634	 0.650649
-4.963	 0.635588
-4.95967	 0.609416
-4.95634	 0.636115
-4.953	 0.564115
-4.94967	 0.580938
-4.94634	 0.72414
-4.943	 0.573143
-4.93967	 0.603751
-4.93634	 0.458675
-4.933	 0.351638
-4.92967	 0.628416
-4.92634	 0.471674
-4.92301	 0.851567
-4.91967	 0.365353
-4.91634	 0.73147
-4.91301	 0.306392
-4.90967	 0.601783
-4.90634	 0.579175
-4.90301	 0.648296
-4.89967	 0.640456
-4.89634	 0.451686
-4.89301	 0.893514
-4.88967	 0.502712
-4.88634	 0.412389
-4.88301	 0.591748
-4.87967	 0.673152
-4.87634	 0.786798
-4.87301	 0.457697
-4.86968	 0.378377
-4.86634	 0.672089
-4.86301	 0.464166
-4.85968	 0.395753
-4.85634	 0.463568
-4.85301	 0.475547
-4.84968	 0.521456
-4.84634	 0.466846
-4.84301	 0.536873
-4.83968	 0.487496
-4.83634	 0.417629
-4.83301	 0.669155
-4.82968	 0.505028
-4.82634	 0.575826
-4.82301	 0.371267
-4.81968	 0.692966
-4.81635	 0.473912
-4.81301	 0.579579
-4.80968	 0.719646
-4.80635	 0.585748
-4.80301	 0.759551
-4.79968	 0.584184
-4.79635	 0.588463
-4.79301	 0.704975
-4.78968	 0.63809
-4.78635	 1.13313
-4.78301	 0.518042
-4.77968	 0.405571
-4.77635	 0.666966
-4.77302	 0.551674
-4.76968	 0.68681
-4.76635	 0.470789
-4.76302	 0.573561
-4.75968	 0.460648
-4.75635	 0.324017
-4.75302	 0.65812
-4.74968	 0.536996
-4.74635	 0.721873
-4.74302	 0.549438
-4.73968	 0.766202
-4.73635	 0.767599
-4.73302	 0.343452
-4.72968	 0.465218
-4.72635	 0.707362
-4.72302	 0.705401
-4.71969	 0.598685
-4.71635	 0.446299
-4.71302	 0.518614
-4.70969	 0.591962
-4.70635	 0.688819
-4.70302	 0.37474
-4.69969	 0.396618
-4.69635	 0.495017
-4.69302	 0.501978
-4.68969	 0.862049
-4.68635	 0.8035
-4.68302	 0.596317
-4.67969	 0.652195
-4.67635	 0.593164
-4.67302	 0.463867
-4.66969	 0.891274
-4.66636	 0.524151
-4.66302	 0.532783
-4.65969	 0.65542
-4.65636	 0.431467
-4.65302	 0.764709
-4.64969	 0.491605
-4.64636	 0.661558
-4.64302	 0.49084
-4.63969	 0.549434
-4.63636	 0.598729
-4.63302	 0.301813
-4.62969	 0.370929
-4.62636	 0.646524
-4.62303	 0.616569
-4.61969	 0.479387
-4.61636	 0.56804
-4.61303	 0.784169
-4.60969	 0.686358
-4.60636	 0.765634
-4.60303	 0.543061
-4.59969	 0.393695
-4.59636	 0.61972
-4.59303	 0.808705
-4.58969	 0.254034
-4.58636	 0.551185
-4.58303	 0.503739
-4.57969	 0.793971
-4.57636	 0.555218
-4.57303	 0.698974
-4.5697	 0.936229
-4.56636	 0.60516
-4.56303	 0.758352
-4.5597	 0.397742
-4.55636	 0.452602
-4.55303	 0.635369
-4.5497	 0.849255
-4.54636	 0.475927
-4.54303	 0.837116
-4.5397	 0.431835
-4.53636	 0.551958
-4.53303	 0.582683
-4.5297	 1.05396
-4.52636	 0.605286
-4.52303	 0.418189
-4.5197	 0.890513
-4.51637	 0.691548
-4.51303	 0.563717
-4.5097	 0.668778
-4.50637	 0.5233
-4.50303	 0.645619
-4.4997	 0.785169
-4.49637	 0.445635
-4.49303	 0.750103
-4.4897	 0.749972
-4.48637	 0.959002
-4.48303	 0.507354
-4.4797	 0.824287
-4.47637	 0.540767
-4.47304	 0.517357
-4.4697	 0.59612
-4.46637	 0.856612
-4.46304	 0.663675
-4.4597	 0.90086
-4.45637	 0.794575
-4.45304	 0.678594
-4.4497	 0.560631
-4.44637	 0.411614
-4.44304	 0.728612
-4.4397	 0.581463
-4.43637	 0.634147
-4.43304	 0.656634
-4.4297	 0.80014
-4.42637	 0.287741
-4.42304	 0.708807
