# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.00129294
-4.99633	 0.00159582
-4.993	 0.00163471
-4.98967	 0.00142413
-4.98633	 0.0016617
-4.983	 0.00134847
-4.97967	 0.00169023
-4.97633	 0.00202922
-4.973	 0.00167437
-4.96967	 0.00192858
-4.96634	 0.00184865
-4.963	 0.00189487
-4.95967	 0.00164687
-4.95634	 0.00204931
-4.953	 0.00143552
-4.94967	 0.00152454
-4.94634	 0.00189264
-4.943	 0.00197031
-4.93967	 0.00133922
-4.93634	 0.0020852
-4.933	 0.00253863
-4.92967	 0.00210954
-4.92634	 0.00181622
-4.92301	 0.00182226
-4.91967	 0.00200073
-4.91634	 0.0022798
-4.91301	 0.00209386
-4.90967	 0.00196098
-4.90634	 0.00172177
-4.90301	 0.00209709
-4.89967	 0.00171799
-4.89634	 0.00243247
-4.89301	 0.00167614
-4.88967	 0.00253981
-4.88634	 0.00216574
-4.88301	 0.00223135
-4.87967	 0.00272065
-4.87634	 0.00276466
-4.87301	 0.00270358
-4.86968	 0.00152433
-4.86634	 0.00268488
-4.86301	 0.00240591
-4.85968	 0.00215928
-4.85634	 0.00245242
-4.85301	 0.00167084
-4.84968	 0.00298831
-4.84634	 0.00261658
-4.84301	 0.00226104
-4.83968	 0.00198606
-4.83634	 0.00257421
-4.83301	 0.00239182
-4.82968	 0.00243716
-4.82634	 0.00268045
-4.82301	 0.00203108
-4.81968	 0.00186431
-4.81635	 0.00222141
-4.81301	 0.00209299
-4.80968	 0.0025389
-4.80635	 0.001847
-4.80301	 0.00190504
-4.79968	 0.00214746
-4.79635	 0.00241711
-4.79301	 0.00163125
-4.78968	 0.00152126
-4.78635	 0.00187831
-4.78301	 0.00232336
-4.77968	 0.00235422
-4.77635	 0.001976
-4.77302	 0.00155982
-4.76968	 0.00218439
-4.76635	 0.00157159
-4.76302	 0.00219277
-4.75968	 0.00246974
-4.75635	 0.00204219
-4.75302	 0.00241257
-4.74968	 0.00255493
