# Delay[ns]	Correlation 	
-150	0.999929
-149.995	0.999931
-149.99	0.999935
-149.985	0.999941
-149.98	0.999946
-149.975	0.99995
-149.97	0.999958
-149.965	0.999971
-149.96	0.999985
-149.955	0.999999
-149.95	1.00001
-149.945	1.00002
-149.94	1.00004
-149.935	1.00005
-149.93	1.00006
-149.925	1.00006
-149.92	1.00006
-149.915	1.00005
-149.91	1.00004
-149.905	1.00002
-149.9	1.00001
-149.895	0.999994
-149.89	0.999983
-149.885	0.999971
-149.88	0.99996
-149.875	0.999953
-149.87	0.999951
-149.865	0.999951
-149.86	0.999958
-149.855	0.999969
-149.85	0.999975
-149.845	0.99998
-149.84	0.999986
-149.835	0.999994
-149.83	1
-149.825	1.00001
-149.82	1.00001
-149.815	1.00001
-149.81	1.00001
-149.805	1.00002
-149.8	1.00002
-149.795	1.00002
-149.79	1.00003
-149.785	1.00003
-149.78	1.00004
-149.775	1.00005
-149.77	1.00005
-149.765	1.00006
-149.76	1.00006
-149.755	1.00005
-149.75	1.00004
-149.745	1.00003
-149.74	1.00002
-149.735	1.00002
-149.73	1.00001
-149.725	1.00001
-149.72	1
-149.715	1
-149.71	1.00001
-149.705	1.00001
-149.7	1.00001
-149.695	1.00001
-149.69	1.00002
-149.685	1.00002
-149.68	1.00002
-149.675	1.00002
-149.67	1.00002
-149.665	1.00002
-149.66	1.00002
-149.655	1.00001
-149.65	1.00001
-149.645	1
-149.64	0.999992
-149.635	0.999981
-149.63	0.999971
-149.625	0.999969
-149.62	0.999967
-149.615	0.999971
-149.61	0.999974
-149.605	0.999979
-149.6	0.999984
-149.595	0.99999
-149.59	0.99999
-149.585	0.999985
-149.58	0.99998
-149.575	0.99998
-149.57	0.999981
-149.565	0.999986
-149.56	0.999995
-149.555	1
-149.55	1.00001
-149.545	1.00002
-149.54	1.00002
-149.535	1.00003
-149.53	1.00003
-149.525	1.00003
-149.52	1.00003
-149.515	1.00002
-149.51	1.00001
-149.505	1
-149.5	0.999992
-149.495	0.999986
-149.49	0.999981
