# Delay[ns]	Correlation 	
-150	0.99985
-149.995	0.999856
-149.99	0.999875
-149.985	0.999928
-149.98	1.00004
-149.975	1.0001
-149.97	1.00011
-149.965	1.00011
-149.96	1.00012
-149.955	1.00006
-149.95	0.999982
-149.945	0.999937
-149.94	0.999971
-149.935	0.999979
-149.93	0.999984
-149.925	1.00004
-149.92	1.00005
-149.915	1
-149.91	0.999953
-149.905	0.99996
-149.9	0.99994
-149.895	0.999991
-149.89	1.00011
-149.885	1.0003
-149.88	1.00041
-149.875	1.00049
-149.87	1.00055
-149.865	1.00058
-149.86	1.00047
-149.855	1.00034
-149.85	1.00019
-149.845	1.00016
-149.84	1.00011
-149.835	1.0001
-149.83	1.00011
-149.825	1.00011
-149.82	1.00012
-149.815	1.00014
-149.81	1.00016
-149.805	1.00016
-149.8	1.0002
-149.795	1.00022
-149.79	1.0002
-149.785	1.00019
-149.78	1.00018
-149.775	1.00018
-149.77	1.00013
-149.765	1.00004
-149.76	0.999996
-149.755	0.999963
-149.75	0.999824
-149.745	0.999656
-149.74	0.999529
-149.735	0.9995
-149.73	0.999515
-149.725	0.999586
-149.72	0.999724
-149.715	0.999795
-149.71	0.999903
-149.705	1.00001
-149.7	1.00019
-149.695	1.00033
-149.69	1.00046
-149.685	1.00052
-149.68	1.00055
-149.675	1.00058
-149.67	1.00061
-149.665	1.00067
-149.66	1.00072
-149.655	1.00075
-149.65	1.00071
-149.645	1.00056
-149.64	1.00033
-149.635	1.00006
-149.63	0.999856
-149.625	0.999765
-149.62	0.999678
-149.615	0.99963
-149.61	0.999531
-149.605	0.999486
-149.6	0.999488
-149.595	0.999498
-149.59	0.999528
-149.585	0.999622
-149.58	0.999751
-149.575	0.999815
-149.57	0.999786
-149.565	0.999716
-149.56	0.999686
-149.555	0.999747
-149.55	0.999803
-149.545	0.999848
-149.54	0.999848
-149.535	0.999882
-149.53	0.99991
-149.525	0.999946
-149.52	0.999957
-149.515	0.99988
-149.51	0.999766
-149.505	0.999729
-149.5	0.999734
-149.495	0.999785
-149.49	0.999838
-149.485	0.999893
-149.48	0.999861
-149.475	0.999859
-149.47	0.999833
-149.465	0.999862
-149.46	0.999971
-149.455	1.00003
-149.45	1.00011
-149.445	1.00024
-149.44	1.00036
-149.435	1.00038
-149.43	1.00034
-149.425	1.00033
-149.42	1.00029
-149.415	1.00027
-149.41	1.00028
-149.405	1.00033
-149.4	1.00042
-149.395	1.00045
-149.39	1.00045
-149.385	1.00051
-149.38	1.00059
-149.375	1.00063
-149.37	1.00052
-149.365	1.00044
-149.36	1.00044
-149.355	1.00053
-149.35	1.00057
-149.345	1.0006
-149.34	1.00067
-149.335	1.00072
-149.33	1.00075
-149.325	1.00076
-149.32	1.00075
-149.315	1.00066
-149.31	1.00052
-149.305	1.00039
-149.3	1.00019
-149.295	1
-149.29	0.999858
-149.285	0.999851
-149.28	0.999818
-149.275	0.999894
-149.27	0.9999
-149.265	0.999925
-149.26	0.999929
-149.255	0.999934
-149.25	0.999852
-149.245	0.999642
-149.24	0.999471
-149.235	0.999349
-149.23	0.99934
-149.225	0.999339
-149.22	0.999321
-149.215	0.999294
-149.21	0.999381
-149.205	0.99942
-149.2	0.999475
-149.195	0.999536
-149.19	0.999611
-149.185	0.999668
-149.18	0.999671
-149.175	0.999741
-149.17	0.999811
-149.165	0.999821
-149.16	0.999842
-149.155	0.999892
-149.15	0.999957
-149.145	1.0001
-149.14	1.00013
-149.135	1.00006
-149.13	1
-149.125	0.99993
-149.12	0.999909
-149.115	0.99997
-149.11	1.00003
-149.105	1.00003
-149.1	1.00006
-149.095	1.00013
-149.09	1.00021
-149.085	1.00037
-149.08	1.00044
-149.075	1.00037
-149.07	1.00031
-149.065	1.0003
-149.06	1.0003
-149.055	1.00032
-149.05	1.00031
-149.045	1.00035
-149.04	1.00033
-149.035	1.00027
-149.03	1.00026
-149.025	1.00026
-149.02	1.00025
-149.015	1.00022
-149.01	1.00023
-149.005	1.0003
-149	1.00036
-148.995	1.00034
-148.99	1.00026
-148.985	1.00024
-148.98	1.00027
-148.975	1.00031
-148.97	1.00034
-148.965	1.00042
-148.96	1.00042
-148.955	1.00045
-148.95	1.00048
-148.945	1.00047
-148.94	1.00046
-148.935	1.00039
-148.93	1.00028
-148.925	1.0002
-148.92	1.00012
-148.915	0.999973
-148.91	0.99986
-148.905	0.999861
-148.9	0.999884
-148.895	0.999889
-148.89	0.999885
-148.885	0.999952
-148.88	1.00009
-148.875	1.00019
-148.87	1.0002
-148.865	1.00022
-148.86	1.00025
-148.855	1.00025
-148.85	1.00013
-148.845	1.00005
-148.84	1.00004
-148.835	1.00007
-148.83	1.00013
-148.825	1.00015
-148.82	1.00016
-148.815	1.00009
-148.81	1.00007
-148.805	1.00002
-148.8	1.00006
-148.795	1.00016
-148.79	1.00018
-148.785	1.0002
-148.78	1.00024
-148.775	1.00028
-148.77	1.00038
-148.765	1.00045
-148.76	1.00055
-148.755	1.00069
-148.75	1.00079
-148.745	1.00089
-148.74	1.00091
-148.735	1.00087
-148.73	1.00072
-148.725	1.00052
-148.72	1.00043
-148.715	1.00038
-148.71	1.00023
-148.705	1.00001
-148.7	0.999827
-148.695	0.999724
-148.69	0.999632
-148.685	0.999546
-148.68	0.999419
-148.675	0.999315
-148.67	0.999207
-148.665	0.999208
-148.66	0.999255
-148.655	0.999328
-148.65	0.999422
-148.645	0.99962
-148.64	0.999756
-148.635	0.99983
-148.63	0.999907
-148.625	1.00001
-148.62	1.00013
-148.615	1.00024
-148.61	1.00032
-148.605	1.0004
-148.6	1.00047
-148.595	1.00048
-148.59	1.00043
-148.585	1.00035
-148.58	1.00028
-148.575	1.00024
-148.57	1.00023
-148.565	1.00026
-148.56	1.00029
-148.555	1.0003
-148.55	1.00032
-148.545	1.00034
-148.54	1.00026
-148.535	1.00029
-148.53	1.00032
-148.525	1.00033
-148.52	1.00033
-148.515	1.00032
-148.51	1.00032
-148.505	1.00036
-148.5	1.00041
-148.495	1.00045
-148.49	1.00044
-148.485	1.00039
-148.48	1.00035
-148.475	1.00027
-148.47	1.00018
-148.465	1.00005
-148.46	0.99991
-148.455	0.999822
-148.45	0.999762
-148.445	0.999702
-148.44	0.999536
-148.435	0.9994
-148.43	0.99926
-148.425	0.999222
-148.42	0.999235
-148.415	0.99925
-148.41	0.999345
-148.405	0.999464
-148.4	0.999537
-148.395	0.99966
-148.39	0.999863
-148.385	0.999969
-148.38	1.00001
-148.375	1.00004
-148.37	1.00001
-148.365	0.999894
-148.36	0.999797
-148.355	0.999884
-148.35	1.00004
-148.345	1.00018
-148.34	1.00029
-148.335	1.00037
-148.33	1.00036
-148.325	1.00029
-148.32	1.00018
-148.315	1.00009
-148.31	1.00007
-148.305	1.00004
-148.3	1.00005
-148.295	1.0001
-148.29	1.00008
-148.285	1.00005
-148.28	0.999982
-148.275	0.999948
-148.27	0.999907
-148.265	0.999927
-148.26	0.999997
-148.255	1.00005
-148.25	1.00001
-148.245	0.999951
-148.24	0.999988
-148.235	1.00006
-148.23	1.00011
-148.225	1.00007
-148.22	0.999993
-148.215	0.999979
-148.21	0.999901
-148.205	0.999914
-148.2	0.999957
-148.195	0.999931
-148.19	0.999837
-148.185	0.999709
-148.18	0.999679
-148.175	0.999633
-148.17	0.999536
-148.165	0.999455
-148.16	0.999389
-148.155	0.999399
-148.15	0.999484
-148.145	0.999606
-148.14	0.999698
-148.135	0.999812
-148.13	0.999865
-148.125	0.999955
-148.12	1.00001
-148.115	1.00004
-148.11	0.999978
-148.105	0.999881
-148.1	0.999831
-148.095	0.999802
-148.09	0.999784
-148.085	0.99976
-148.08	0.999697
-148.075	0.999631
-148.07	0.999702
-148.065	0.999785
-148.06	0.999845
-148.055	0.999854
-148.05	0.999907
-148.045	0.99986
-148.04	0.999802
-148.035	0.99978
-148.03	0.999795
-148.025	0.999742
-148.02	0.999719
-148.015	0.999799
-148.01	0.999919
-148.005	0.999983
-148	1.00014
-147.995	1.00032
-147.99	1.0004
-147.985	1.00038
-147.98	1.00028
-147.975	1.00017
-147.97	1.00002
-147.965	0.999945
-147.96	0.999957
-147.955	0.99997
-147.95	0.999946
-147.945	0.99989
-147.94	0.999818
-147.935	0.999824
-147.93	0.999899
-147.925	1.00002
-147.92	1.00016
-147.915	1.00029
-147.91	1.00035
-147.905	1.0003
-147.9	1.00031
-147.895	1.00033
-147.89	1.00031
-147.885	1.00022
-147.88	1.00013
-147.875	0.999945
-147.87	0.999673
-147.865	0.999433
-147.86	0.999245
-147.855	0.999144
-147.85	0.999026
-147.845	0.998978
-147.84	0.99904
-147.835	0.999121
-147.83	0.999282
-147.825	0.9995
-147.82	0.999665
-147.815	0.999848
-147.81	1.00012
-147.805	1.00035
-147.8	1.00049
-147.795	1.00051
-147.79	1.00049
-147.785	1.00042
-147.78	1.00033
-147.775	1.00024
-147.77	1.00021
-147.765	1.00016
-147.76	1.0001
-147.755	1.00012
-147.75	1.00015
-147.745	1.00018
-147.74	1.00015
-147.735	1.00013
-147.73	1.00015
-147.725	1.00021
-147.72	1.00025
-147.715	1.00033
-147.71	1.00047
-147.705	1.00049
-147.7	1.00048
-147.695	1.00042
-147.69	1.0004
-147.685	1.00041
-147.68	1.00041
-147.675	1.00036
-147.67	1.00031
-147.665	1.00029
-147.66	1.00023
-147.655	1.00017
-147.65	1.00012
-147.645	1.0001
-147.64	1.00005
-147.635	0.999958
-147.63	0.999906
-147.625	0.999832
-147.62	0.99973
-147.615	0.999683
-147.61	0.999788
-147.605	0.99997
-147.6	1.0001
-147.595	1.00021
-147.59	1.00023
-147.585	1.00018
-147.58	1.00011
-147.575	1.0001
-147.57	1.00007
-147.565	1.00008
-147.56	1.00005
-147.555	0.999963
-147.55	0.999894
-147.545	0.999877
-147.54	0.999815
-147.535	0.999752
-147.53	0.999696
-147.525	0.999664
-147.52	0.999709
-147.515	0.99969
-147.51	0.999672
-147.505	0.999719
-147.5	0.999785
-147.495	0.999876
-147.49	0.999976
-147.485	0.999993
-147.48	0.999978
-147.475	0.999847
-147.47	0.999702
-147.465	0.999541
-147.46	0.99943
-147.455	0.999374
-147.45	0.999365
-147.445	0.99935
-147.44	0.999348
-147.435	0.999383
-147.43	0.999483
-147.425	0.999658
-147.42	0.999809
-147.415	0.999852
-147.41	0.999817
-147.405	0.999755
-147.4	0.999773
-147.395	0.999821
-147.39	0.999842
-147.385	0.999825
-147.38	0.999878
-147.375	0.999937
-147.37	1
-147.365	1.00004
-147.36	1.00006
-147.355	1.00002
-147.35	0.999922
-147.345	0.999818
-147.34	0.99974
-147.335	0.999713
-147.33	0.999734
-147.325	0.999828
-147.32	0.999914
-147.315	0.999936
-147.31	0.999964
-147.305	1.00009
-147.3	1.00023
-147.295	1.00035
-147.29	1.00048
-147.285	1.00059
-147.28	1.00062
-147.275	1.00067
-147.27	1.00075
-147.265	1.00088
-147.26	1.00089
-147.255	1.0008
-147.25	1.0006
-147.245	1.0004
-147.24	1.00023
-147.235	1.00008
-147.23	0.99991
-147.225	0.99991
-147.22	0.999911
-147.215	0.999905
-147.21	0.999984
-147.205	0.999985
-147.2	1.00001
-147.195	1
-147.19	0.999991
-147.185	1.00001
-147.18	1.00003
-147.175	1.00008
-147.17	1.00003
-147.165	0.999971
-147.16	0.999902
-147.155	0.999812
-147.15	0.99972
-147.145	0.999632
-147.14	0.999526
-147.135	0.999408
-147.13	0.999362
-147.125	0.999421
-147.12	0.999534
-147.115	0.999631
-147.11	0.999694
-147.105	0.999676
-147.1	0.999666
-147.095	0.999674
-147.09	0.999671
-147.085	0.999745
-147.08	0.999855
-147.075	0.999895
-147.07	0.999871
-147.065	0.999813
-147.06	0.999787
-147.055	0.999714
-147.05	0.999739
-147.045	0.999763
-147.04	0.999796
-147.035	0.999751
-147.03	0.999716
-147.025	0.999683
-147.02	0.999655
-147.015	0.999644
-147.01	0.999666
-147.005	0.999688
-147	0.999644
-146.995	0.999648
-146.99	0.999651
-146.985	0.999669
-146.98	0.999633
-146.975	0.999593
-146.97	0.999617
-146.965	0.999628
-146.96	0.999621
-146.955	0.999596
-146.95	0.999604
-146.945	0.999603
-146.94	0.999717
-146.935	0.999792
-146.93	0.999881
-146.925	0.999946
-146.92	0.999953
-146.915	0.999968
-146.91	1.00005
-146.905	1.00021
-146.9	1.00025
-146.895	1.00018
-146.89	1.00019
-146.885	1.00023
-146.88	1.00028
-146.875	1.00032
-146.87	1.00033
-146.865	1.00037
-146.86	1.0004
-146.855	1.00043
-146.85	1.00041
-146.845	1.00039
-146.84	1.0004
-146.835	1.00043
-146.83	1.00041
-146.825	1.00039
-146.82	1.00029
-146.815	1.00018
-146.81	1.00013
-146.805	1.00014
-146.8	1.00023
-146.795	1.00026
-146.79	1.00024
-146.785	1.00019
-146.78	1.00018
-146.775	1.00016
-146.77	1.00023
-146.765	1.00022
-146.76	1.0002
-146.755	1.00019
-146.75	1.00026
-146.745	1.00029
-146.74	1.00026
-146.735	1.00027
-146.73	1.0002
-146.725	1.00017
-146.72	1.00011
-146.715	1.00004
-146.71	0.999953
-146.705	0.999897
-146.7	0.999887
-146.695	0.999866
-146.69	0.999843
-146.685	0.999802
-146.68	0.999787
-146.675	0.999672
-146.67	0.999545
-146.665	0.999439
-146.66	0.999439
-146.655	0.999466
-146.65	0.999477
-146.645	0.999567
-146.64	0.999547
-146.635	0.999459
-146.63	0.999466
-146.625	0.999533
-146.62	0.999628
-146.615	0.999776
-146.61	0.999934
-146.605	1.00001
-146.6	1.00005
-146.595	1.00015
-146.59	1.0002
-146.585	1.00024
-146.58	1.00017
-146.575	1.0001
-146.57	1.00004
-146.565	1
-146.56	0.999941
-146.555	0.999865
-146.55	0.999849
-146.545	0.999857
-146.54	0.999838
-146.535	0.999819
-146.53	0.999816
-146.525	0.999803
-146.52	0.999774
-146.515	0.999783
-146.51	0.999755
-146.505	0.999753
-146.5	0.999763
-146.495	0.999727
-146.49	0.999747
-146.485	0.999814
-146.48	0.999867
-146.475	0.999901
-146.47	1.00001
-146.465	1.00023
-146.46	1.00048
-146.455	1.00066
-146.45	1.00075
-146.445	1.0008
-146.44	1.00075
-146.435	1.00057
-146.43	1.00033
-146.425	1.00007
-146.42	0.999835
-146.415	0.999643
-146.41	0.999589
-146.405	0.999583
-146.4	0.999588
-146.395	0.999676
-146.39	0.999824
-146.385	0.999928
-146.38	1.00006
-146.375	1.00009
-146.37	1.00004
-146.365	1
-146.36	0.999991
-146.355	0.999994
-146.35	0.999999
-146.345	1.00008
-146.34	1.00009
-146.335	1.00009
-146.33	1.00007
-146.325	1.00012
-146.32	1.00016
-146.315	1.00016
-146.31	1.00022
-146.305	1.00026
-146.3	1.00021
-146.295	1.00011
-146.29	1.00007
-146.285	1.00012
-146.28	1.00008
-146.275	0.999992
-146.27	0.99997
-146.265	0.999925
-146.26	0.999876
-146.255	0.999817
-146.25	0.999792
-146.245	0.999777
-146.24	0.999809
-146.235	0.999829
-146.23	0.999896
-146.225	0.999973
-146.22	1.00009
-146.215	1.00031
-146.21	1.00053
-146.205	1.00071
-146.2	1.00081
-146.195	1.00085
-146.19	1.00086
-146.185	1.00077
-146.18	1.00058
-146.175	1.00038
-146.17	1.00018
-146.165	0.999931
-146.16	0.999683
-146.155	0.999546
-146.15	0.99953
-146.145	0.999611
-146.14	0.999606
-146.135	0.999585
-146.13	0.999639
-146.125	0.999762
-146.12	0.9999
-146.115	0.99994
-146.11	0.999988
-146.105	1.0001
-146.1	1.0001
-146.095	1.00007
-146.09	1.00006
-146.085	1.00003
-146.08	0.999955
-146.075	0.99989
-146.07	0.999873
-146.065	0.999882
-146.06	0.999881
-146.055	0.999833
-146.05	0.999888
-146.045	1.00005
-146.04	1.00011
-146.035	1.00005
-146.03	0.999993
-146.025	1.00001
-146.02	1.00005
-146.015	1.00007
-146.01	1.00009
-146.005	1.00015
-146	1.00017
-145.995	1.00019
-145.99	1.00018
-145.985	1.00018
-145.98	1.00018
-145.975	1.0002
-145.97	1.00019
-145.965	1.00016
-145.96	1.00014
-145.955	1.00014
-145.95	1.00018
-145.945	1.00018
-145.94	1.00021
-145.935	1.00023
-145.93	1.00022
-145.925	1.00019
-145.92	1.0002
-145.915	1.00022
-145.91	1.00018
-145.905	1.00009
-145.9	0.999989
-145.895	0.999868
-145.89	0.999777
-145.885	0.999721
-145.88	0.999675
-145.875	0.999699
-145.87	0.999679
-145.865	0.999638
-145.86	0.999612
-145.855	0.999568
-145.85	0.999578
-145.845	0.999703
-145.84	0.999839
-145.835	0.999955
-145.83	1.00005
-145.825	1.00017
-145.82	1.00023
-145.815	1.00024
-145.81	1.00019
-145.805	1.00021
-145.8	1.00023
-145.795	1.00023
-145.79	1.00019
-145.785	1.00013
-145.78	1.00011
-145.775	1.00007
-145.77	1.00007
-145.765	1.00007
-145.76	1.00008
-145.755	1.00016
-145.75	1.0003
-145.745	1.00051
-145.74	1.00068
-145.735	1.00077
-145.73	1.00077
-145.725	1.00068
-145.72	1.0006
-145.715	1.00049
-145.71	1.00038
-145.705	1.0003
-145.7	1.00021
-145.695	1.00012
-145.69	1.00004
-145.685	0.99997
-145.68	0.999942
-145.675	0.999948
-145.67	1
-145.665	1.00004
-145.66	1.00018
-145.655	1.00035
-145.65	1.00052
-145.645	1.00063
-145.64	1.00069
-145.635	1.0007
-145.63	1.00066
-145.625	1.00057
-145.62	1.00051
-145.615	1.00037
-145.61	1.00022
-145.605	1.00016
-145.6	1.00019
-145.595	1.00021
-145.59	1.00023
-145.585	1.00019
-145.58	1.00007
-145.575	0.999885
-145.57	0.999636
-145.565	0.999418
-145.56	0.999364
-145.555	0.999363
-145.55	0.999397
-145.545	0.999446
-145.54	0.999572
-145.535	0.99974
-145.53	0.999913
-145.525	1.00006
-145.52	1.00018
-145.515	1.0003
-145.51	1.00036
-145.505	1.0004
-145.5	1.00033
-145.495	1.00026
-145.49	1.00005
-145.485	0.999865
-145.48	0.999789
-145.475	0.999739
-145.47	0.999708
-145.465	0.999707
-145.46	0.999709
-145.455	0.999698
-145.45	0.999712
-145.445	0.99973
-145.44	0.999757
-145.435	0.9998
-145.43	0.999903
-145.425	1.00003
-145.42	1.00011
-145.415	1.00015
-145.41	1.00015
-145.405	1.00015
-145.4	1.00005
-145.395	0.999959
-145.39	0.999905
-145.385	0.999873
-145.38	0.999898
-145.375	0.99988
-145.37	0.999801
-145.365	0.999769
-145.36	0.999742
-145.355	0.9997
-145.35	0.999725
-145.345	0.999709
-145.34	0.999745
-145.335	0.999819
-145.33	0.99999
-145.325	1.0001
-145.32	1.00017
-145.315	1.00025
-145.31	1.00029
-145.305	1.00034
-145.3	1.00044
-145.295	1.00052
-145.29	1.00051
-145.285	1.00043
-145.28	1.00031
-145.275	1.00018
-145.27	1.00003
-145.265	0.999926
-145.26	0.999867
-145.255	0.999853
-145.25	0.999912
-145.245	0.999979
-145.24	1.00003
-145.235	1.00004
-145.23	0.999999
-145.225	0.999942
-145.22	0.999875
-145.215	0.999855
-145.21	0.99986
-145.205	0.999873
-145.2	0.999903
-145.195	0.999956
-145.19	1.00002
-145.185	1.00005
-145.18	1.00008
-145.175	1.0001
-145.17	1.00007
-145.165	0.999992
-145.16	0.999853
-145.155	0.999773
-145.15	0.999736
-145.145	0.999783
-145.14	0.999941
-145.135	1.00007
-145.13	1.00011
-145.125	1.00006
-145.12	1.00004
-145.115	1.00011
-145.11	1.00016
-145.105	1.00017
-145.1	1.00012
-145.095	1.00001
-145.09	0.999909
-145.085	0.999827
-145.08	0.999762
-145.075	0.999714
-145.07	0.999669
-145.065	0.99967
-145.06	0.999602
-145.055	0.999573
-145.05	0.999571
-145.045	0.999537
-145.04	0.999503
-145.035	0.999549
-145.03	0.999632
-145.025	0.999756
-145.02	0.999948
-145.015	1.00003
-145.01	1.0001
-145.005	1.00024
-145	1.00039
-144.995	1.0005
-144.99	1.00053
-144.985	1.00045
-144.98	1.00034
-144.975	1.00021
-144.97	1.00006
-144.965	0.999967
-144.96	0.999942
-144.955	1
-144.95	1.0001
-144.945	1.00021
-144.94	1.0003
-144.935	1.00032
-144.93	1.00038
-144.925	1.00046
-144.92	1.00043
-144.915	1.00037
-144.91	1.00036
-144.905	1.00029
-144.9	1.00023
-144.895	1.0002
-144.89	1.00021
-144.885	1.00019
-144.88	1.00013
-144.875	1.0001
-144.87	1.00013
-144.865	1.00018
-144.86	1.00023
-144.855	1.00027
-144.85	1.00036
-144.845	1.00046
-144.84	1.00057
-144.835	1.00065
-144.83	1.00061
-144.825	1.00056
-144.82	1.00059
-144.815	1.0006
-144.81	1.00059
-144.805	1.00053
-144.8	1.00048
-144.795	1.00041
-144.79	1.00035
-144.785	1.00031
-144.78	1.00019
-144.775	1.00004
-144.77	0.999983
-144.765	1
-144.76	0.999999
-144.755	0.999968
-144.75	0.999923
-144.745	0.999908
-144.74	0.999911
-144.735	0.999973
-144.73	1.00008
-144.725	1.00018
-144.72	1.00022
-144.715	1.00025
-144.71	1.0002
-144.705	1.00011
-144.7	1.00002
-144.695	0.999895
-144.69	0.99979
-144.685	0.99976
-144.68	0.999764
-144.675	0.99974
-144.67	0.999745
-144.665	0.99968
-144.66	0.999643
-144.655	0.999598
-144.65	0.999619
-144.645	0.999627
-144.64	0.999626
-144.635	0.999668
-144.63	0.999732
-144.625	0.9998
-144.62	0.999819
-144.615	0.999824
-144.61	0.999794
-144.605	0.99976
-144.6	0.999712
-144.595	0.999705
-144.59	0.999636
-144.585	0.99967
-144.58	0.999699
-144.575	0.999811
-144.57	0.99989
-144.565	0.99986
-144.56	0.99976
-144.555	0.999646
-144.55	0.999527
-144.545	0.99951
-144.54	0.999595
-144.535	0.999712
-144.53	0.999827
-144.525	0.99994
-144.52	1.00003
-144.515	1.00011
-144.51	1.00023
-144.505	1.00028
-144.5	1.00029
-144.495	1.00027
-144.49	1.00027
