# Model from RED16, control program to compare with BKM. project started: 2016/10/26 : last updated: 2016/10/26
# Parameters: to be found in source code and log.txt!
#Columns:
#J 	 |Es|^2 	 |Ew|^2 	 rho 	 w 
60	499347	488876	0.277068	3.80044e+12
70	1.07139e+06	1.06582e+06	0.39221	6.41311e+12
80	2.293e+06	2.37379e+06	0.481735	9.27783e+12
90	6.06563e+06	1.48631e+07	0.546882	1.2297e+13
100	6.40057e+06	2.16986e+08	0.550933	1.49289e+13
110	6.33403e+06	4.31272e+08	0.551479	1.7532e+13
120	6.14622e+06	6.47256e+08	0.55187	2.0135e+13
130	6.09015e+06	8.61052e+08	0.552377	2.27413e+13
140	6.03501e+06	1.07405e+09	0.552884	2.53494e+13
150	5.79278e+06	1.29068e+09	0.553263	2.7957e+13
160	5.74946e+06	1.50393e+09	0.553748	3.05682e+13
170	5.7437e+06	1.71753e+09	0.55421	3.31808e+13
180	5.61656e+06	1.92928e+09	0.554711	3.5796e+13
190	5.59022e+06	2.13922e+09	0.555232	3.84137e+13
200	5.59546e+06	2.35233e+09	0.555685	4.10313e+13
210	5.47305e+06	2.56777e+09	0.556094	4.36493e+13
220	5.44418e+06	2.7736e+09	0.556654	4.62737e+13
230	5.5465e+06	2.98727e+09	0.557086	4.88959e+13
240	5.35299e+06	3.19615e+09	0.557581	5.15219e+13
250	5.39767e+06	3.40942e+09	0.558014	5.41475e+13
260	5.32414e+06	3.6231e+09	0.558441	5.67744e+13
270	5.22099e+06	3.83248e+09	0.558916	5.9405e+13
280	5.2182e+06	4.03867e+09	0.559423	6.20387e+13
290	5.23079e+06	4.24743e+09	0.559895	6.46728e+13
